,states,Guessed?
0,Alabama,Guessed
1,Alaska,Guessed
2,Arizona,Wrong
3,Arkansas,Wrong
4,California,Wrong
5,Colorado,Wrong
6,Connecticut,Wrong
7,Delaware,Wrong
8,Florida,Wrong
9,Georgia,Wrong
10,Hawaii,Wrong
11,Idaho,Wrong
12,Illinois,Wrong
13,Indiana,Wrong
14,Iowa,Wrong
15,Kansas,Wrong
16,Kentucky,Wrong
17,Louisiana,Wrong
18,Maine,Wrong
19,Maryland,Wrong
20,Massachusetts,Wrong
21,Michigan,Wrong
22,Minnesota,Wrong
23,Mississippi,Wrong
24,Missouri,Wrong
25,Montana,Wrong
26,Nebraska,Wrong
27,Nevada,Wrong
28,New Hampshire,Wrong
29,New Jersey,Wrong
30,New Mexico,Wrong
31,New York,Wrong
32,North Carolina,Wrong
33,North Dakota,Wrong
34,Ohio,Wrong
35,Oklahoma,Wrong
36,Oregon,Wrong
37,Pennsylvania,Wrong
38,Rhode Island,Wrong
39,South Carolina,Wrong
40,South Dakota,Wrong
41,Tennessee,Wrong
42,Texas,Wrong
43,Utah,Wrong
44,Vermont,Wrong
45,Virginia,Wrong
46,Washington,Wrong
47,West Virginia,Wrong
48,Wisconsin,Wrong
49,Wyoming,Wrong
